名称,创建时间,副属性,品质,攻击力,武器类型,状态,简介
飞雷之弦振,2025年2月25日 19:04,+66.2% 暴击伤害,5,608,弓,完成,曾由将军御赐的长弓，闪烁着永不熄灭的雷光。
静水流涌之辉,2026年2月1日 21:03,+88.2% 暴击伤害,5,542,单手剑,完成,萦绕着至纯之水的权杖，在遥远的昔日曾象征着海原之上至高的权威。
赦罪,2026年2月1日 21:04,44.1%,5,674,单手剑,完成,曾经弃绝一切的骗徒使用过的刺剑，过去主要是他伪装身份活动时用的道具。
焚耀千阳,2026年2月1日 21:04,暴击率 +11.0%,5,741,双手剑,完成,如同冉冉升起的初阳般耀眼的重剑，曾见证过无数太阳的熄灭与重燃。
祭星者之望,2026年2月1日 22:28,+264.6 元素精通,5,542,法器,完成,以鹰之形雕刻的造像，烟谜主世代传承的圣物之一。
山王长牙,2026年2月2日 20:10,+11.0% 暴击率,5,741,双手剑,完成,由纯然的绿松石锻造而成的巨剑，因其远超一般兵刃的重量而被冠以「山王」康加玛托之名。
帷间夜曲,2026年2月2日 22:22,+88.2% 暴击伤害,5,542,法器,完成,笼着月色轻纱的玉珠，即便是在冬日的寒夜中也萦绕着如歌的温存。
朏魄含光,2026年2月5日 15:09,+88.2% 暴击伤害,5,542,单手剑,完成,传说中隐于清泉的仙人用井月的流光铸成的宝剑，唯有在日夕昏明时才会显露真形。
黎明神剑,2026年2月5日 15:23,+46.9% 暴击伤害,3,401,单手剑,完成,一把曾经耀若朝阳的宝剑，掌握它的人会获得「自我感觉良好」的力量加持。剑身上的发光材料已经褪去。
厄水之祸,2026年2月5日 15:32,+27.6% 攻击力,4,565,单手剑,完成,「烟谜主」伟大祭司桑哈杰打造的仪式之刃，在过往的故事中，桑哈杰能够用这弯曲的长刃举行仪式，模糊夜神之国与现世的边界。
西风剑,2026年2月5日 15:40,+61.3% 元素充能效率,4,454,单手剑,完成,西风骑士团的制式长剑。轻快锐利之余，也能轻易导出元素力量。
灰河渡手,2026年2月5日 15:49,+45.9% 元素充能效率,4,510,单手剑,完成,在过去曾经被当作武器使用的趁手废弃铜管，曾经在一些人当中享有盛名或是臭名昭著。
弓藏,2026年2月5日 19:51,+41.3% 攻击力,4,510,弓,完成,布满锈迹的铁造大弓，一般人根本拿不动，遑论引弓放矢。
破魔之弓,2026年2月5日 19:56,+55.1% 攻击力,4,454,弓,完成,曾经属于某个巫女的战弓。以优越的技法打造，精巧而耐用。
水仙十字之剑,2026年2月5日 20:02,+41.3% 攻击力,4,510,单手剑,完成,意志与力量随故事的结束而消褪的长剑，它将要再次踏上新的旅途。其中残余着一些力量，纪念着一场宏大的梦。
西风秘典,2026年2月5日 20:11,+45.9% 元素充能效率,5,510,法器,完成,西风骑士团的学者间流传的秘典，记载着元素与物质的道理和力量。
祭礼残章,2026年2月5日 20:15,+220.5 元素精通,4,454,法器,完成,经历漫长岁月的剧本，记载着的颂词和剧本已经无法辨认。被下了受时间之风侵蚀毁坏的诅咒。
讨龙英杰谭,2026年2月5日 20:24,+35.2% 生命值上限,3,401,单手剑,完成,五名英雄踏上屠龙征途的虚构故事。文笔很差，结构散乱。失败的教训是这本书所拥有的伟大力量。
海渊终曲,2026年2月5日 20:29,+27.6% 攻击力,4,565,单手剑,完成,如神秘海渊一般沉默的长剑，比它看似所属的年代还要更加古老。
弹弓,2026年2月5日 20:37,+31.2% 暴击率,3,354,弓,完成,其实就是一把弓。在无数的改进和实验中，发明出究极弹弓的人发现自己做了一把弓。
螭骨剑,2026年2月5日 20:47,+27.6% 暴击率,4,510,双手剑,完成,来自古代大海的稀有兵器，舞剑猎猎宛如太古的涛声。
撼地者,2026年2月5日 20:52,+27.6% 攻击力,4,565,双手剑,完成,人称「窃火者」的英杰爱用的重剑，据说就连烬城之王的烈火也未能将其焚断。
狼的末路,2026年2月5日 20:56,+49.6% 攻击力,5,608,双手剑,完成,狼的骑士所使的大剑。原本只是城中铁匠赠予的厚重的铁片，却在他与狼的情谊中，获得神话般的力量。
试作金珀,2026年2月5日 21:05,+41.3% 生命值上限,4,510,法器,完成,黑岩厂中秘藏的金珀法器。其中黯黯绽放着日月星光。
遗祀玉珑,2026年2月5日 21:08,+36.8% 暴击率,4,454,法器,完成,一枚古老的玉珑，闪烁着清水般的光泽，似乎是古代的祭祀用品。
天光的纺琴,2026年2月5日 21:12,+45.9% 元素充能效率,4,510,法器,完成,如天光般的金色弦丝编制而成的鲁特琴，似乎是古时仙灵的遗物。
息燧之笛,2026年2月5日 21:22,+69.0% 防御力,4,454,单手剑,完成,造型奇特的玉石长刀，在烟谜主的传承中被称作「祭司之笛」的礼器。